,condition
0,1
1,2
2,1
3,1
4,0
5,2
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,2
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,2
36,2
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,2
49,0
50,2
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,2
84,0
85,1
86,0
87,2
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,2
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,2
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,2
128,2
129,1
130,0
131,2
132,0
133,2
134,1
135,1
136,1
137,2
138,1
139,0
140,1
141,2
142,1
143,0
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,2
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,2
164,1
165,1
166,0
167,2
168,1
169,1
170,1
171,2
172,2
173,1
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,2
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,2
199,1
200,2
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,2
211,1
212,1
213,0
214,1
215,1
216,1
217,2
218,0
219,0
220,1
221,2
222,2
223,1
224,1
225,1
226,2
227,0
228,1
229,2
230,1
231,1
232,2
233,0
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,2
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,2
271,1
272,1
273,1
274,1
275,1
276,1
277,2
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,2
292,1
293,1
294,0
295,1
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,2
305,2
306,1
307,2
308,0
309,1
310,1
311,2
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,2
321,1
322,0
323,1
324,0
325,0
326,0
327,0
328,2
329,0
330,0
331,2
332,0
333,0
334,1
335,2
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,2
344,0
345,2
346,2
347,0
348,1
349,2
350,2
351,0
352,1
353,1
354,1
355,1
356,1
357,1
358,0
359,0
360,1
361,2
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,2
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,1
384,0
385,0
386,2
387,1
388,0
389,0
390,0
391,2
392,1
393,1
394,1
395,2
396,1
397,0
398,0
399,1
400,2
401,1
402,0
403,2
404,1
405,1
406,1
407,2
408,1
409,1
410,0
411,1
412,1
413,1
414,2
415,0
416,0
417,2
418,0
419,1
420,1
421,2
422,2
423,1
424,1
425,2
426,1
427,1
428,1
429,0
430,1
431,1
432,0
433,0
434,1
435,2
436,0
437,0
438,1
439,2
440,0
441,1
442,1
443,1
444,0
445,0
446,2
447,2
448,0
449,2
450,0
451,2
452,1
453,1
454,2
455,0
456,1
457,1
458,0
459,2
460,0
461,0
462,2
463,1
464,2
465,1
466,0
467,1
468,1
469,1
470,0
471,0
472,0
473,2
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,2
485,1
486,1
487,0
488,0
489,0
490,1
491,2
492,2
493,1
494,1
495,1
496,2
497,1
498,1
499,2
500,1
501,1
502,2
503,0
504,0
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,2
521,0
522,1
523,1
524,2
525,1
526,1
527,0
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,1
538,1
539,2
540,2
541,1
542,1
543,1
544,1
545,0
546,0
547,2
548,2
549,2
550,1
551,2
552,1
553,1
554,0
555,1
556,1
557,1
558,2
559,2
560,1
561,1
562,0
563,0
564,0
565,2
566,0
567,2
568,0
569,1
570,0
571,2
572,1
573,1
574,0
575,1
576,1
577,0
578,1
579,1
580,0
581,1
582,0
583,0
584,1
585,1
586,0
587,2
588,1
589,1
590,2
591,1
592,2
593,0
594,1
595,1
596,1
597,2
598,1
599,0
600,1
601,1
602,0
603,1
604,0
605,0
606,0
607,0
608,1
609,0
610,0
611,2
612,0
613,1
614,2
615,1
616,1
617,0
618,1
619,1
620,2
621,1
622,2
623,2
624,2
625,1
626,1
627,0
628,1
629,0
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,0
650,1
651,2
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,2
661,1
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,1
670,1
671,0
672,0
673,1
674,1
675,1
676,2
677,1
678,1
679,0
680,0
681,0
682,1
683,2
684,1
685,2
686,2
687,0
688,1
689,1
690,0
691,2
692,1
693,2
694,0
695,2
696,1
697,1
698,1
699,0
700,2
701,1
702,0
703,0
704,0
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,2
713,2
714,0
715,0
716,1
717,1
718,1
719,0
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,2
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,2
743,1
744,0
745,0
746,1
747,1
748,1
749,1
750,1
751,0
752,1
753,2
754,1
755,1
756,1
757,1
758,0
759,1
760,2
761,1
762,2
763,2
764,0
765,2
766,0
767,2
768,1
769,1
770,0
771,1
772,1
773,2
774,1
775,2
776,1
777,1
778,0
779,1
780,2
781,0
782,0
783,0
784,1
785,2
786,2
787,0
788,0
789,2
790,1
791,2
792,1
793,1
794,0
795,0
796,1
797,2
798,0
799,1
800,1
801,1
802,1
803,1
804,0
805,0
806,1
807,1
808,1
809,0
810,0
811,1
812,1
813,0
814,1
815,2
816,1
817,1
818,2
819,2
820,2
821,1
822,1
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,1
831,1
832,1
833,0
834,1
835,0
836,1
837,0
838,2
839,1
840,0
841,0
842,0
843,0
844,0
845,1
846,1
847,1
848,2
849,0
850,0
851,1
852,1
853,0
854,2
855,0
856,1
857,1
858,1
859,2
860,0
861,0
862,1
863,2
864,0
865,2
866,2
867,2
868,1
869,1
870,0
871,1
872,1
873,1
874,0
875,2
876,1
877,1
878,1
879,1
880,1
881,1
882,0
883,1
884,2
885,0
886,2
887,1
888,1
889,0
890,0
891,1
892,0
893,1
894,0
895,0
896,0
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,2
907,1
908,0
909,1
910,2
911,1
912,1
913,2
914,1
915,2
916,0
917,0
918,1
919,2
920,0
921,1
922,1
923,1
924,1
925,0
926,2
927,0
928,0
929,1
930,1
931,1
932,1
933,1
934,0
935,2
936,0
937,1
938,1
939,0
940,1
941,1
942,1
943,2
944,0
945,2
946,1
947,1
948,1
949,0
950,1
951,1
952,0
953,0
954,0
955,1
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,1
